id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-001,bn,image_to_text,নিচের ছবিতে কোন যন্ত্রটি দেখা যাচ্ছে?,https://drive.google.com/file/d/1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr/view?usp=drivesdk,মেগার (ইনসুলেশন টেস্টার),ডিজিটাল মাল্টিমিটার,ক্ল্যাম্প মিটার,আর্থ টেস্টার,0,Tools,"megger,insulation",ইনসুলেশন রেজিস্ট্যান্স মাপতে ব্যবহৃত হয়।,TRUE,"=IMAGE(""https://drive.google.com/thumbnail?id=1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr&sz=w400"")",,,,
vq-002,bn,text_to_image,নিচের কোনটি হেলমেট?,,https://drive.google.com/file/d/13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5/view?usp=drivesdk,https://drive.google.com/file/d/1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd/view?usp=drivesdk,https://drive.google.com/file/d/13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC/view?usp=drivesdk,https://drive.google.com/file/d/1PygiMYqqr1QClPDVser-ZExOWwbl0btA/view?usp=drivesdk,0,PPE,"helmet,head_protection",মাথায় আঘাত থেকে রক্ষা পেতে ব্যবহৃত হয়।,TRUE,,"=IMAGE(""https://drive.google.com/thumbnail?id=13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1PygiMYqqr1QClPDVser-ZExOWwbl0btA&sz=w400"")"
vq-003,bn,image_to_text,ছবির যন্ত্রটির নাম কী?,https://drive.google.com/file/d/1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT/view?usp=drivesdk,আর্থ টেস্টার,মেগার,মাল্টিমিটার,ফেজ চেকার,0,Tools,"earth_tester,earthing",মাটির রেজিস্ট্যান্স পরিমাপের যন্ত্র।,TRUE,"=IMAGE(""https://drive.google.com/thumbnail?id=1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT&sz=w400"")",,,,
vq-004,bn,text_to_image,বৈদ্যুতিক লাইনে কাজ করার সময় হাতের সুরক্ষায় কোনটি ব্যবহৃত হয়?,,https://drive.google.com/file/d/1MAUYMbUWD91sOWrr2S07vFnLFke6hReM/view?usp=drivesdk,https://drive.google.com/file/d/1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6/view?usp=drivesdk,https://drive.google.com/file/d/1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd/view?usp=drivesdk,https://drive.google.com/file/d/1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC/view?usp=drivesdk,0,PPE,"gloves,electrical",ইলেকট্রিক্যাল গ্লাভস বৈদ্যুতিক কাজের জন্য বিশেষভাবে তৈরি।,TRUE,,"=IMAGE(""https://drive.google.com/thumbnail?id=1MAUYMbUWD91sOWrr2S07vFnLFke6hReM&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC&sz=w400"")"
vq-005,bn,image_to_text,ছবিতে কোন ইনসুলেটরটি দেখা যাচ্ছে?,https://drive.google.com/file/d/1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1/view?usp=drivesdk,পিন ইনসুলেটর,ডিস্ক ইনসুলেটর,শ্যাকল ইনসুলেটর,গাই ইনসুলেটর,0,Insulators,"pin,porcelain",পিনে বসানো হয় এই ইনসুলেটর।,TRUE,"=IMAGE(""https://drive.google.com/thumbnail?id=1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1&sz=w400"")",,,,
vq-006,bn,text_to_image,বৈদ্যুতিক কাজের জন্য কোন মই নিরাপদ?,,https://drive.google.com/file/d/1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7/view?usp=drivesdk,https://drive.google.com/file/d/1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5/view?usp=drivesdk,https://drive.google.com/file/d/13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5/view?usp=drivesdk,https://drive.google.com/file/d/1PygiMYqqr1QClPDVser-ZExOWwbl0btA/view?usp=drivesdk,0,PPE,"ladder,frp",FRP মই বিদ্যুৎ পরিবাহী নয়।,TRUE,,"=IMAGE(""https://drive.google.com/thumbnail?id=1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1PygiMYqqr1QClPDVser-ZExOWwbl0btA&sz=w400"")"
vq-007,bn,image_to_text,ছবিতে কোন মাপার যন্ত্র দেখা যাচ্ছে?,https://drive.google.com/file/d/1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK/view?usp=drivesdk,ক্ল্যাম্প মিটার,মাল্টিমিটার,মেগার,হাই ভোল্টেজ ডিটেক্টর,0,Tools,"clamp,current",তার না কেটে কারেন্ট পরিমাপ করে।,TRUE,"=IMAGE(""https://drive.google.com/thumbnail?id=1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK&sz=w400"")",,,,
vq-008,bn,text_to_image,হাই ভোল্টেজ লাইনের টেনশন পয়েন্টে কোন ইনসুলেটর ব্যবহৃত হয়?,,https://drive.google.com/file/d/1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI/view?usp=drivesdk,https://drive.google.com/file/d/1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1/view?usp=drivesdk,https://drive.google.com/file/d/1JSmzPpPfrxTPs9V_Sk8k5xakiNsZ6pIh/view?usp=drivesdk,https://drive.google.com/file/d/1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ/view?usp=drivesdk,0,Insulators,"disc,tension",ডিস্ক ইনসুলেটর হাই ভোল্টেজ সাসপেনশনে ব্যবহৃত হয়।,TRUE,,"=IMAGE(""https://drive.google.com/thumbnail?id=1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1JSmzPpPfrxTPs9V_Sk8k5xakiNsZ6pIh&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ&sz=w400"")"
vq-009,bn,image_to_text,ছবির যন্ত্রটির নাম কী?,https://drive.google.com/file/d/13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC/view?usp=drivesdk,সেফটি বেল্ট (হারনেস),ল্যানিয়ার্ড হুক,ম্যানিলা রোপ,রিফ্লেক্টিভ ভেস্ট,0,PPE,"harness,fall_protection",উচ্চতায় কাজে পতন রোধে ব্যবহৃত হয়।,TRUE,"=IMAGE(""https://drive.google.com/thumbnail?id=13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC&sz=w400"")",,,,
vq-010,bn,text_to_image,তিন ফেজ লাইনের সঠিক ক্রম যাঁচাই করার যন্ত্র কোনটি?,,https://drive.google.com/file/d/1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v/view?usp=drivesdk,https://drive.google.com/file/d/1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2/view?usp=drivesdk,https://drive.google.com/file/d/1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc/view?usp=drivesdk,https://drive.google.com/file/d/1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr/view?usp=drivesdk,0,Tools,"phase_sequence,three_phase",RYB ক্রম যাঁচাই করতে ব্যবহৃত হয়।,TRUE,,"=IMAGE(""https://drive.google.com/thumbnail?id=1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc&sz=w400"")","=IMAGE(""https://drive.google.com/thumbnail?id=1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr&sz=w400"")"
vq-011,bn,image_to_text,ছবিতে কোন PPE দেখা যাচ্ছে?,https://drive.google.com/file/d/1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd/view?usp=drivesdk,সেফটি গগলস,হেলমেট,আর্ক ফ্ল্যাশ ফেস শিল্ড,কাট রেজিস্ট্যান্ট গ্লাভস,0,PPE,"goggles,eye_protection",চোখকে ধুলো ও কণা থেকে রক্ষা করে।,TRUE,"=IMAGE(""https://drive.google.com/thumbnail?id=1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd&sz=w400"")",,,,
